"","FIPSTXT","State","County","Markets2009","Markets2016","SNAP","WIC","WICCash","Senior","CreditCards","Produce","Animal","Baked","OtherFood","SNAP1000","WIC1000","WICCash1000","Senior1000","CreditCards1000","Produce1000","Animal1000","Baked1000","OtherFood1000","Difference","Increased","Present_2009","Present_2016","Accepts_SNAP","Accepts_WIC","Accepts_WICCash","Accepts_Senior","Accepts_CreditCards","Sells_Produce","Sells_Animal","Sells_Baked","Sells_OtherFood","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","DistrictofColumbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","NewHampshire","NewJersey","NewMexico","NewYork","NorthCarolina","NorthDakota","Ohio","Oklahoma","Oregon","Pennsylvania","RhodeIsland","SouthCarolina","SouthDakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","WestVirginia","Wisconsin","Wyoming","Midwest","Northeast","South","West","Markets_2009_norm","Markets_2016_norm","SNAP_norm","WIC_norm","WICCash_norm","Senior_norm","CreditCards_norm","Produce_norm","Animal_norm","Baked_norm","OtherFood_norm"
"1",1001,"AL","Autauga",0.039,0.018,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.018,0,0.018,0.018,-0.021,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.572,0.309,0.82,-0.523,0.923,0.653,-1.061,0.004,1.002,0.891,0.117
"2",1003,"AL","Baldwin",0.022,0.019,0,0,0,4,2,3,4,3,3,0,0,0,0.076,0.038,0.057,0.076,0.057,0.057,-0.003,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.142,1.459,-0.137,0.196,0.844,-0.415,0.644,0.153,0.235,-0.692,-1.067
"3",1005,"AL","Barbour",0.067,0.154,2,0,0,2,2,2,0,2,2,0.308,0,0,0.308,0.308,0.308,0,0.308,0.308,0.087,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.145,-0.817,0.821,0.852,0.812,-1.879,0.118,0.751,-0.309,0.827,-0.02
"4",1007,"AL","Bibb",0.046,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.468,-0.595,-1.023,0.919,0.038,-1.177,0.832,0.034,1.811,0.309,-1.142
"5",1009,"AL","Blount",0.017,0.017,0,1,0,1,0,1,1,1,1,0,0.017,0,0.017,0,0.017,0.017,0.017,0.017,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.343,-1.642,0.297,-1.188,0.721,-0.177,0.065,0.545,0.018,-0.193,-0.208
"6",1011,"AL","Bullock",0.091,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00600000000000001,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05,-1.229,-2.66,-0.454,1.645,0.872,-0.065,-0.989,-1.419,0.234,-0.276
"7",1013,"AL","Butler",0.1,0.1,0,0,0,1,0,1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.709,-0.938,0.262,-0.466,1.41,1.019,-0.184,-0.886,0.305,-0.575,-0.077
"8",1015,"AL","Calhoun",0.018,0.017,1,0,0,2,1,2,2,2,2,0.017,0,0,0.034,0.017,0.034,0.034,0.034,0.034,-0.000999999999999997,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.323,0.328,-1.028,0.819,-1.375,-0.075,0.092,-0.613,0.924,0.132,1.003
"9",1017,"AL","Chambers",0.029,0.03,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.03,0,0.03,0.03,0.000999999999999997,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.374,0.225,-0.775,-2.104,1.504,0.594,0.1,-0.571,-0.932,-1.241,1.268
"10",1019,"AL","Cherokee",0.041,0.039,0,0,0,1,1,1,0,0,1,0,0,0,0.039,0.039,0.039,0,0,0.039,-0.002,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.955,-0.244,-0.897,0.639,-0.637,-1.839,2.104,-0.783,-0.57,1.438,-0.233
