FIPSTXT,State,County,DIRSALES_FARMS07,DIRSALES_FARMS12,PCH_DIRSALES_FARMS_07_12,PCT_LOCLFARM07,PCT_LOCLFARM12,PCT_LOCLSALE07,PCT_LOCLSALE12,DIRSALES07,DIRSALES12,PCH_DIRSALES_07_12,PC_DIRSALES07,PC_DIRSALES12,PCH_PC_DIRSALES_07_12,FMRKT09,FMRKT16,PCH_FMRKT_09_16,FMRKTPTH09,FMRKTPTH16,PCH_FMRKTPTH_09_16,FMRKT_SNAP16,PCT_FMRKT_SNAP16,FMRKT_WIC16,PCT_FMRKT_WIC16,FMRKT_WICCASH16,PCT_FMRKT_WICCASH16,FMRKT_SFMNP16,PCT_FMRKT_SFMNP16,FMRKT_CREDIT16,PCT_FMRKT_CREDIT16,FMRKT_FRVEG16,PCT_FMRKT_FRVEG16,FMRKT_ANMLPROD16,PCT_FMRKT_ANMLPROD16,FMRKT_BAKED16,PCT_FMRKT_BAKED16,FMRKT_OTHERFOOD16,PCT_FMRKT_OTHERFOOD16,VEG_FARMS07,VEG_FARMS12,PCH_VEG_FARMS_07_12,VEG_ACRES07,VEG_ACRES12,PCH_VEG_ACRES_07_12,VEG_ACRESPTH07,VEG_ACRESPTH12,PCH_VEG_ACRESPTH_07_12,FRESHVEG_FARMS07,FRESHVEG_FARMS12,PCH_FRESHVEG_FARMS_07_12,FRESHVEG_ACRES07,FRESHVEG_ACRES12,PCH_FRESHVEG_ACRES_07_12,FRESHVEG_ACRESPTH07,FRESHVEG_ACRESPTH12,PCH_FRESHVEG_ACRESPTH_07_12,ORCHARD_FARMS07,ORCHARD_FARMS12,PCH_ORCHARD_FARMS_07_12,ORCHARD_ACRES07,ORCHARD_ACRES12,PCH_ORCHARD_ACRES_07_12,ORCHARD_ACRESPTH07,ORCHARD_ACRESPTH12,PCH_ORCHARD_ACRESPTH_07_12,BERRY_FARMS07,BERRY_FARMS12,PCH_BERRY_FARMS_07_12,BERRY_ACRES07,BERRY_ACRES12,PCH_BERRY_ACRES_07_12,BERRY_ACRESPTH07,BERRY_ACRESPTH12,PCH_BERRY_ACRESPTH_07_12,SLHOUSE07,SLHOUSE12,PCH_SLHOUSE_07_12,GHVEG_FARMS07,GHVEG_FARMS12,PCH_GHVEG_FARMS_07_12,GHVEG_SQFT07,GHVEG_SQFT12,PCH_GHVEG_SQFT_07_12,GHVEG_SQFTPTH07,GHVEG_SQFTPTH12,PCH_GHVEG_SQFTPTH_07_12,FOODHUB16,CSA07,CSA12,PCH_CSA_07_12,AGRITRSM_OPS07,AGRITRSM_OPS12,PCH_AGRITRSM_OPS_07_12,AGRITRSM_RCT07,AGRITRSM_RCT12,PCH_AGRITRSM_RCT_07_12,FARM_TO_SCHOOL09,FARM_TO_SCHOOL13
01001,AL,Autauga,25,51,104,6.0240963855,13.1105398458,0.5963740458,1.5546918379,100,308,208,1.908214865,5.5822383326,192.5371998188,2,1,-50,0.0394042084,0.0180453299,-54.2045618594,0,0,0,0,0,0,0,0,0,0,1,100,0,0,1,100,1,100,34,45,32.3529411765,948,1230,-22.9268292683,18.0898769201,17.1816946081,-5.0203896692,34,43,26.4705882353,,,,,,,23,25,8.6956521739,384,402,4.6875,7.3275450816,7.285908473,-0.568220435,3,5,66.6666666667,,5,,,0.0906207522,,0,0,0,0,0,,0,0,,0,0,,0,2,3,50,7,10,42.8571428571,228000,146000,-35.9649122807,0,
01003,AL,Baldwin,80,103,28.75,7.0237050044,10.4145601618,0.7126340549,0.4780100618,715,648,-9.3706293706,4.147235563,3.4034328452,-17.9349040212,4,4,0,0.0222372942,0.0191788572,-13.7536379895,0,0,0,0,0,0,4,100,2,50,3,75,4,100,3,75,3,75,51,50,-1.9607843137,2280,1958,16.4453524004,13.2247511659,11.9750414925,-9.4497783567,51,50,-1.9607843137,,,,,,,252,228,-9.5238095238,4333,3361,-22.4324948073,25.1328275446,17.652681779,-29.7624521248,36,41,13.8888888889,79,93,17.7215189873,0.4582260272,0.4884556398,6.5970963649,1,1,0,0,4,,0,62160,,0,326.4774470052,,0,13,7,-46.1538461538,18,16,-11.1111111111,124000,204000,64.5161290323,0,0
01005,AL,Barbour,18,13,-27.7777777778,2.8892455859,2.2767075306,0.0154033579,0.0124573575,11,13,18.1818181818,0.3962964297,0.4786626901,20.7840026243,2,4,100,0.0672562801,0.1540535336,129.0544964375,2,50,0,0,0,0,2,50,2,50,2,50,0,0,2,50,2,50,11,7,-36.3636363636,32,41,-21.9512195122,1.152862341,1.1782466217,2.2018483744,11,7,-36.3636363636,30,41,36.6666666667,1.0808084447,1.5096284841,39.675859445,85,58,-31.7647058824,1047,799,-23.6867239733,37.7202147206,29.4193453367,-22.0064213456,3,5,66.6666666667,,42,,,1.546448691,,0,0,0,0,0,,0,0,,0,0,,0,1,0,-100,27,32,18.5185185185,163000,304000,86.5030674847,0,1
01007,AL,Bibb,12,13,8.3333333333,5.6872037915,6.8783068783,,,46,20,-56.5217391304,2.0500935912,0.8833141949,-56.9134697734,1,1,0,0.0463241766,0.0441637592,-4.6636929735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,10,65,14,364.2857142857,2.8968713789,2.8707711333,-0.9009804788,10,10,0,,12,,,0.5299885169,,7,4,-42.8571428571,,13,,,0.5741542267,,6,2,-66.6666666667,6,,,0.2674035119,,,0,0,0,0,2,,0,,,0,,,0,2,3,50,5,6,20,,21000,,0,0
01009,AL,Blount,84,88,4.7619047619,5.9405940594,7.0910556003,0.267716732,0.2777918077,429,495,15.3846153846,7.6280227596,8.5675713099,12.3170653772,1,1,0,0.0171394293,0.0173298212,1.1108415361,0,0,1,100,0,0,1,100,0,0,1,100,1,100,1,100,1,100,67,64,-4.4776119403,585,677,-13.5893648449,10.4018492176,10.125311548,-2.6585433398,65,59,-9.2307692308,581,654,12.5645438898,10.3307254623,11.319579064,9.5719667053,36,28,-22.2222222222,193,176,-8.8082901554,3.4317211949,3.0462475768,-11.232661284,14,25,78.5714285714,28,38,35.7142857143,0.4978662873,0.657712545,32.1062626103,0,0,0,2,0,-100,,0,,,0,,0,7,4,-42.8571428571,10,8,-20,293000,30000,-89.7610921502,0,1
01011,AL,Bullock,13,12,-7.6923076923,4.6931407942,4.3956043956,0.1029512697,0.1063264221,42,58,38.0952380952,3.8143674507,5.4686026777,43.3685335345,1,1,0,0.0910332271,0.0965064659,6.0123528276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,-52.9411764706,134,70,91.4285714286,12.1696485333,12.6343579106,3.8185932491,17,8,-52.9411764706,,70,,,6.6000377145,,49,30,-38.7755102041,1136,656,-42.2535211268,103.169557715,61.8517820102,-40.0484179829,4,0,-100,,0,,,0,,0,0,0,0,0,,0,0,,0,0,,0,2,0,-100,18,13,-27.7777777778,116000,466000,301.724137931,0,0
01013,AL,Butler,11,31,181.8181818182,2.2448979592,7.6167076167,0.0105001208,0.118930893,10,131,1210,0.4786062985,6.4190513524,1241.1965895727,2,2,0,0.1001803246,0.100010001,-0.1700170017,0,0,0,0,0,0,1,50,0,0,1,50,0,0,0,0,0,0,20,23,15,80,105,-23.8095238095,3.8288503877,3.9200313603,2.3814190514,19,23,21.0526315789,,100,,,4.9000392003,,24,27,12.5,244,497,103.6885245902,11.6779936824,24.3531948256,108.5392019202,3,2,-33.3333333333,,,,,,,0,0,0,0,0,,0,0,,0,0,,0,3,5,66.6666666667,9,9,0,97000,73000,-24.7422680412,0,0
01015,AL,Calhoun,35,50,42.8571428571,4.7619047619,8.4459459459,0.11583962,0.3084983168,80,285,256.25,0.6884029911,2.4299575397,252.984744556,2,2,0,0.0175314031,0.017450332,-0.4624337978,1,50,0,0,0,0,2,100,1,50,2,100,2,100,2,100,2,100,25,15,-40,46,26,76.9230769231,0.3958317199,0.3922036731,-0.9165629316,25,15,-40,38,,,0.3269914208,,,20,21,5,56,91,62.5,0.4818820938,0.7758811793,61.0105852361,14,13,-7.1428571429,16,12,-25,0.1376805982,0.1023140017,-25.6874221987,2,2,0,0,1,,0,,,0,,,0,3,2,-33.3333333333,4,9,125,7000,203000,2800,0,0
01017,AL,Chambers,15,22,46.6666666667,4.4642857143,7.3089700997,1.0285538839,0.8033573141,67,67,0,1.922690619,1.9662509171,2.265590609,1,1,0,0.0291375291,0.0295482079,1.4094495169,0,0,0,0,0,0,0,0,0,0,1,100,0,0,1,100,1,100,6,8,33.3333333333,39,51,-23.5294117647,1.1191781215,1.1445341159,2.265590609,6,8,33.3333333333,39,,,1.1191781215,,,13,7,-46.1538461538,97,150,54.6391752577,2.7835968663,4.402054292,58.1426658901,0,5,,0,5,,0,0.1467351431,,0,0,0,1,3,200,,5280,,,154.9523110785,,0,0,1,,18,14,-22.2222222222,89000,26000,-70.7865168539,0,0
01019,AL,Cherokee,23,14,-39.1304347826,3.5168195719,2.495543672,0.0899985,0.025832257,54,31,-42.5925925926,2.1132548037,1.1912538908,-43.6294246827,1,1,0,0.0409031414,0.0388726919,-4.96404276,0,0,0,0,0,0,1,100,1,100,1,100,0,0,0,0,1,100,17,4,-76.4705882353,115,,,4.500450045,4.4191676594,-1.8060946086,16,4,-75,,,,,,,16,7,-56.25,36,34,-5.5555555556,1.4088365358,1.3065365254,-7.2613115748,5,2,-60,5,,,0.1956717411,,,0,0,0,0,0,,0,0,,0,0,,0,4,2,-50,13,10,-23.0769230769,102000,15000,-85.2941176471,0,1
